t,h_t,e,d
1595763665.6135223,2020-07-26 14:41:05.613506,32.2366,27.8779
1595763729.0021005,2020-07-26 14:42:09.002084,32.2366,27.8779
1595763792.3831224,2020-07-26 14:43:12.383106,32.2366,27.8779
1595763855.7727704,2020-07-26 14:44:15.772754,32.2366,27.8779
1595763919.4362612,2020-07-26 14:45:19.436246,32.2366,27.8779
1595763982.747958,2020-07-26 14:46:22.747943,32.2366,27.8779
1595764046.317643,2020-07-26 14:47:26.317627,32.2366,27.8779
1595764109.6730494,2020-07-26 14:48:29.673033,32.2366,27.8779
1595764173.3104587,2020-07-26 14:49:33.310443,32.2366,27.8779
1595764236.6558318,2020-07-26 14:50:36.655816,32.2366,27.8779
1595764300.0492623,2020-07-26 14:51:40.049246,32.2366,27.8779
1595764363.5498405,2020-07-26 14:52:43.549824,32.2366,27.8779
1595764427.136243,2020-07-26 14:53:47.136227,32.2366,27.8779
1595764490.5767138,2020-07-26 14:54:50.576697,32.2366,27.8779
1595764554.06762,2020-07-26 14:55:54.067604,32.2366,27.8779
1595764617.6512065,2020-07-26 14:56:57.651190,32.2366,27.8779
1595764681.128322,2020-07-26 14:58:01.128306,32.2366,27.8779
1595764744.5396473,2020-07-26 14:59:04.539631,32.2366,27.8779
1595775618.9587944,2020-07-26 18:00:18.958779,32.2366,27.8779
1595836823.7340822,2020-07-27 11:00:23.734067,32.2246,27.7559
1595836887.6442573,2020-07-27 11:01:27.644241,32.2246,27.7559
1595836951.0099952,2020-07-27 11:02:31.009980,32.2246,27.7559
1595837014.4173586,2020-07-27 11:03:34.417342,32.2246,27.7559
1595837078.0917299,2020-07-27 11:04:38.091713,32.2246,27.7559
1595837141.5527058,2020-07-27 11:05:41.552689,32.2246,27.7559
1595837205.1585271,2020-07-27 11:06:45.158511,32.2246,27.7559
1595837268.6885486,2020-07-27 11:07:48.688532,32.2246,27.7559
1595837332.294465,2020-07-27 11:08:52.294449,32.2246,27.7559
1595837395.593417,2020-07-27 11:09:55.593400,32.2246,27.7559
